Scientific name,Number of occurrences
Rusa unicolor,6
Rusa timorensis,3
Rusicada combinans,19
Russula turci,1
Sacoproteus smaragdinus,1
Salix matsudana tortuosa,2
Salma nephelodes,12
Salsola kali,4
Sixalix atropurpurea,9
Schizoporella japonica,0
Schuhirandella,0
Schuhirandella fulva,0
Sciota melanostyla,9
Scolia dubia,1
Selenicereus testudo,1
Senna floribunda,3
Sepedon costalis,1
Sigilliclystis insigillata,118
Silene acaulis,0
Simplicia cornicalis,39
Sipodotus wallacii,0
Sisyrinchium micranthum,37
Sloaneana curvicollis,0
Smyriodes aspera,1
Solanum americanum,2
Sparaxis grandiflora,1
Spatula querquedula,0
Spatula rhynchotis,64
Australognathus,0
Spinellus fusiger,1
Sporobolus spartinae,2
Spurilla braziliana,3
Stanisicarion freycineti,2
Stenacapha ducani,2
Sterictopsis argyraspis,7
Strelitzia juncea,1
Strepsinoma croesusalis,2
Streptopelia decaocto,0
Stropharia formosa,3
Sugomel nigrum,9
Sycozoa arborescens,3
Symposiachrus guttula,0
Synoicus adansonii,0
Synoicus chinensis,3
Synoicus ypsilophorus australis,6
Talegalla fuscirostris,0
Tambja dracomus,5
Tambja caeruleocirrus,2
Taxeotis reserata,4
Teixeirichthys jordani,1
Tenellia sibogae,0
Tetrernia terminitis,5
Thalassarche chlororhynchos carteri,3
Thelymitra pauciflora,35
Theretra oldenlandiae lewini,5
Theretra silhetensis intersecta,4
Thorunna purpuropedis,1
Threskiornis aethiopicus aethiopicus,1
Thyas coronata,3
Thylogale brunii,0
Thysanostoma loriferum,1
Thysanostoma flagellatum,1
Tiliqua rugosa asper,411
Tirumala limniace,1
Todiramphus nigrocyaneus,0
Tolpia myops,5
Tramea transmarina propinqua,0
Trapezites lutea,5
Tremella mesenterica,33
Trichoglossus haematodus Ã— chlorolepidotus,2
Trigonidium sjostedi,0
Trogoderma norfolkiana,0
Trogulus closanicus,0
Trugon terrestris,0
Trygonorrhina dumerilii Ã— fasciata,1
Turbo cornutus,1
Turnerinycta phaeocosma,5
Tyrannodoris luteolineata,5
Tyta luctuosa,0
Tyto alba deliculata,5
Ubiquitarion iridis,4
Uresiphita reversalis,1
Urocoma limbalis,5
Urocoma marginalis,7
Urocoma panabra,3
Usnea hirta,4
Varanus finschi,0
Varanus similis,2
Venitus latreillei,11
Verconia haliclona,28
Verconia simplex,1
Verconia alboannulata,1
Verconia norba,0
Verconia romeri,1
